Sample	Timepoint	Otu00001	Otu00002	Otu00003	Otu00004	Otu00005	Otu00006	Otu00007	Otu00008	Otu00009	Otu00010	Otu00011	Otu00012	Otu00013	Otu00014	Otu00015	Otu00016	Otu00017	Otu00018	Otu00019	Otu00020	Otu00021	Otu00022	Otu00023	Otu00024	Otu00025	Otu00026	Otu00027	Otu00028	Otu00029	Otu00030	Otu00031	Otu00032	Otu00033	Otu00034	Otu00035	Otu00036	Otu00037	Otu00038	Otu00039	Otu00040	Otu00041	Otu00043	Otu00044	Otu00045	Otu00046	Otu00047	Otu00050	Otu00051	Otu00052	Otu00053	Otu00054	Otu00055	Otu00059	Otu00064	Otu00067	Otu00069	Otu00075	Otu00078	Otu00079	Otu00084	Subject	Pair	Subject1
F70863	3	0.894467765	0.011085997	0.004897212	0.003498009	0.00107631	0.000107631	0.00048434	0.000807233	0.000107631	0.001722097	5.38E-05	0	0	0	0.000376709	0.000753417	0.001237757	0	0	0.022010548	0.000215262	0	0	0	5.38E-05	0	0.000107631	0.000161447	0	0.044613066	0.000322893	0	0	0.000269078	0.000161447	0.000591971	0	0.000269078	0	0	5.38E-05	0	0.000107631	0.008664299	0	0.000538155	0	0	0	0	0	0	0	0	0	0	0	0.000107631	0	0	F7086	PAIR_F	Mother
3691FB	0	0.91968518	0.001833467	0.00313031	0.003085592	0.00558984	0.000178875	0.001475718	0.000223594	0.000402468	0.000223594	0	0.007468026	0.000581343	0	0.000178875	0.003264467	0.000313031	0	0	0.002280655	0.000804937	0.000536625	0.000536625	0	0.000447187	0	8.94E-05	0	0	0.025310795	0.000134156	0	0.003175029	0.002906717	0	0.000536625	0.000626062	0.000626062	8.94E-05	0	4.47E-05	0	0.000760218	0.009301494	0	0	0	4.47E-05	4.47E-05	0.001028531	0	0	0	0	0	0	8.94E-05	0	0	0	3691F	PAIR_F	Daughter
3691F1	1	0	0.027957582	0.148547032	0	0	0.488555295	0.175292659	0.016664371	0.04853326	0.002616719	0.044677042	0.000440711	0.000192811	0	5.51E-05	2.75E-05	2.75E-05	0	0.001625121	0	0.001129321	0.000165266	0	0	0.017380526	2.75E-05	0.003332874	0.004049029	0.000137722	0	0.000330533	0	0.0002479	0.003498141	0	0.001707754	0.000440711	0	0	0	0	2.75E-05	0	0	0	0	0	0	0	0.005040628	0	0	0	0	0	0	0	2.75E-05	0	0	3691F	PAIR_F	Daughter
3691F2	2	0.000443307	0.147298849	0.188224152	0	4.03E-05	0.329074899	0.088540512	0.029741874	0.046305439	0.002397888	0.013117859	0.00064481	0.000544059	0	2.02E-05	0.000221654	0.081387148	0	0	2.02E-05	0.002599391	0.000403006	8.06E-05	0	0.0219437	0.00185383	0.008926592	0.009793056	0.000141052	0	0	2.02E-05	0.000342555	0.000785863	2.02E-05	0.002176235	4.03E-05	0.002297137	6.05E-05	0	0.01003486	4.03E-05	0.000120902	0.003667358	0	2.02E-05	0	0	8.06E-05	0.000261954	0	4.03E-05	0	0	4.03E-05	0	0	0.000261954	0	0	3691F	PAIR_F	Daughter
3691F3	3	0.000196884	0.024047927	0.124261686	2.81E-05	0	0.396664229	0.15840693	0.053749227	0.048236485	0.011784891	0.0554368	0.000365641	0.003853294	0	0	0.002025089	5.63E-05	0	0	0	0.007931597	0.001800079	8.44E-05	0	0.032823311	5.63E-05	0.020897789	0.018675817	0.000281262	0	0.000112505	0	0.000393767	0.008944141	0	0.007565956	0.001659448	0.000421893	2.81E-05	0	0.000168757	0	0	0.000140631	0	5.63E-05	0	0.000168757	0	0.004640828	0	0	0	0	0	0	0	0	0	0	3691F	PAIR_F	Daughter
J6329B	0	7.01E-05	7.01E-05	0	0.000105112	0	0	0.381381171	0	0	0	0.004870187	0.065344592	0	0.096983287	0	0.068603062	3.50E-05	0	0	0	0.043376196	0.061105077	0.061420413	0.019796083	0	0	0	0	0	0	0.024245822	3.50E-05	0.000735784	0.011071791	0	0.008689254	0.022774255	0.007322799	0.010160821	0	0.000630672	0	0.008023545	0.001541642	0	0.024841456	0.003959217	0.002838022	0	0.011527277	0	0	0	0	0	0	0.001331418	7.01E-05	0	0	J6329	PAIR_J	Mother
J63291	1	0	0.478363466	0	0.000242912	0.000104105	0	0.119096367	0	0	0	0.002533227	0.068119513	0	0.038692438	0	0.037373772	0	0.000104105	0	0.001665683	0.016795641	0.02495055	0.0239442	0.038935351	0	0	0	0	0	0	0.000312316	0.000381719	0.0039907	0.001943297	0	0.004129507	0.011208662	0.007148558	0.00659333	0	0.000277614	0	0.018149009	0.002082104	3.47E-05	0.015719888	0.046916751	0.001769789	0	0.001492175	0	0	0	0	0	0	0.006142208	0.002325016	0	0.00020821	J6329	PAIR_J	Mother
J63292	2	0.260869565	0.130434783	0	0	0.130434783	0	0	0	0	0	0	0.086956522	0	0	0	0	0.130434783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043478261	0	0	0	0	0	0	0	0	0.086956522	0	0	0	0	0	0	0	0	0	0	0.043478261	0	0	0.086956522	J6329	PAIR_J	Mother
J63293	3	0.032670455	0.018229167	0.020123106	0	0.012547348	0	0.348248106	0.002367424	0	0.004971591	0.040482955	0.030066288	0	0.046638258	0	0.032907197	0	0	0	0	0.026278409	0.049242424	0.052793561	0.03811553	0	0	0	0	0.002604167	0	0.013257576	0	0	0.003551136	0	0.003787879	0.004024621	0.001420455	0.029592803	0	0	0.000473485	0.026278409	0.003314394	0	0.075520833	0.004498106	0.000236742	0	0.046638258	0.000473485	0	0	0	0	0	0.000473485	0	0	0	J6329	PAIR_J	Mother
J63294	4	0.181818182	0	0.454545455	0	0.090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.090909091	0	0	0.181818182	0	0	J6329	PAIR_J	Mother
